SEASONAL,SALES TYPE,BUSINESS_DATE,STORE_ID,YEAR,MONTH,DAYOFWEEK,DAY_PART,SALES_AMOUNT,TICKET_NUM,HOP_OUT_TIME,AVE_SALE_PER_ORDER,AVE_SALE_PER_SERVICE_MINUTE
Cold Season,Drive Through Window,2015-11-19 00:00:00,3797,2015,11,04-Thursday,05-Late Night Snack,264.63000000000005,36,2.9686111111111106,7.350833333333335,2.476186020398616
Cold Season,Drive Through Window,2015-11-20 00:00:00,3797,2015,11,05-Friday,01-Breakfast,580.9400000000003,121,1.6835537190082646,4.80115702479339,2.851799126208827
Cold Season,Drive Through Window,2015-11-20 00:00:00,3797,2015,11,05-Friday,02-Lunch,827.6,130,2.0037692307692314,6.366153846153846,3.177089331644208
Cold Season,Drive Through Window,2015-11-20 00:00:00,3797,2015,11,05-Friday,03-Snack,559.52,69,2.4192753623188405,8.108985507246377,3.3518241178937282
Cold Season,Drive Through Window,2015-11-20 00:00:00,3797,2015,11,05-Friday,04-Dinner,869.4300000000002,93,2.6589247311827955,9.348709677419357,3.515973794888387
Cold Season,Drive Through Window,2015-11-20 00:00:00,3797,2015,11,05-Friday,05-Late Night Snack,357.8,36,3.2319444444444447,9.93888888888889,3.075204125483455
Cold Season,Drive Through Window,2015-11-21 00:00:00,3797,2015,11,06-Saturday,01-Breakfast,615.5900000000001,81,1.951234567901234,7.599876543209878,3.8949066751028174
Cold Season,Drive Through Window,2015-11-21 00:00:00,3797,2015,11,06-Saturday,02-Lunch,1075.7000000000007,131,2.0035877862595424,8.211450381679395,4.098373147407325
Cold Season,Drive Through Window,2015-11-21 00:00:00,3797,2015,11,06-Saturday,03-Snack,373.81000000000006,53,2.092075471698113,7.053018867924529,3.37130230880231
Cold Season,Drive Through Window,2015-11-21 00:00:00,3797,2015,11,06-Saturday,04-Dinner,1014.1400000000004,102,2.5513725490196077,9.942549019607847,3.896941284967724
Cold Season,Drive Through Window,2015-11-21 00:00:00,3797,2015,11,06-Saturday,05-Late Night Snack,301.98999999999995,44,2.7824999999999993,6.86340909090909,2.466633994935882
Cold Season,Drive Through Window,2015-11-22 00:00:00,3797,2015,11,07-Sunday,01-Breakfast,472.2100000000001,63,2.298095238095238,7.495396825396827,3.2615692775245204
Cold Season,Drive Through Window,2015-11-22 00:00:00,3797,2015,11,07-Sunday,02-Lunch,1106.88,126,2.0033333333333334,8.784761904761906,4.385072498217258
Cold Season,Drive Through Window,2015-11-22 00:00:00,3797,2015,11,07-Sunday,03-Snack,337.7200000000001,65,2.267384615384616,5.195692307692309,2.2914913828199213
Cold Season,Drive Through Window,2015-11-22 00:00:00,3797,2015,11,07-Sunday,04-Dinner,897.0399999999998,87,4.333908045977011,10.310804597701148,2.379100914998011
Cold Season,Drive Through Window,2015-11-22 00:00:00,3797,2015,11,07-Sunday,05-Late Night Snack,163.44,22,3.178636363636364,7.429090909090909,2.3371943371943367
Cold Season,Drive Through Window,2015-11-23 00:00:00,3797,2015,11,01-Monday,01-Breakfast,384.73,84,1.9545238095238093,4.580119047619048,2.3433426726763313
Cold Season,Drive Through Window,2015-11-23 00:00:00,3797,2015,11,01-Monday,02-Lunch,901.6600000000002,128,2.8382812500000005,7.0442187500000015,2.4818607211670796
Cold Season,Drive Through Window,2015-11-23 00:00:00,3797,2015,11,01-Monday,03-Snack,476.22,68,2.915588235294118,7.003235294117648,2.4019973771814787
Cold Season,Drive Through Window,2015-11-23 00:00:00,3797,2015,11,01-Monday,04-Dinner,791.65,90,2.489333333333334,8.796111111111111,3.5335207998571674
Cold Season,Drive Through Window,2015-11-23 00:00:00,3797,2015,11,01-Monday,05-Late Night Snack,171.03,21,3.365714285714286,8.144285714285715,2.4197792869269947
Cold Season,Drive Through Window,2015-11-24 00:00:00,3797,2015,11,02-Tuesday,01-Breakfast,507.04999999999984,105,1.5260952380952382,4.829047619047618,3.164316025961057
Cold Season,Drive Through Window,2015-11-24 00:00:00,3797,2015,11,02-Tuesday,02-Lunch,1059.2799999999997,175,2.3958857142857135,6.05302857142857,2.526426254531578
Cold Season,Drive Through Window,2015-11-24 00:00:00,3797,2015,11,02-Tuesday,03-Snack,548.5399999999998,86,2.169534883720929,6.378372093023254,2.9399721299174626
Cold Season,Drive Through Window,2015-11-24 00:00:00,3797,2015,11,02-Tuesday,04-Dinner,1195.02,119,3.4210924369747904,10.04218487394958,2.935373731915207
Cold Season,Drive Through Window,2015-11-24 00:00:00,3797,2015,11,02-Tuesday,05-Late Night Snack,356.31000000000006,43,3.974418604651163,8.286279069767444,2.0849034523112935
Cold Season,Drive Through Window,2015-11-25 00:00:00,3797,2015,11,03-Wednesday,01-Breakfast,486.4699999999999,93,1.8082795698924732,5.230860215053762,2.8927275970743884
Cold Season,Drive Through Window,2015-11-25 00:00:00,3797,2015,11,03-Wednesday,02-Lunch,994.0300000000001,130,2.280769230769231,7.6463846153846164,3.352546374367622
Cold Season,Drive Through Window,2015-11-25 00:00:00,3797,2015,11,03-Wednesday,03-Snack,465.20000000000005,67,2.7361194029850746,6.943283582089553,2.5376391010255293
Cold Season,Drive Through Window,2015-11-25 00:00:00,3797,2015,11,03-Wednesday,04-Dinner,1047.46,95,3.1438947368421046,11.025894736842107,3.5070813941808696
Cold Season,Drive Through Window,2015-11-25 00:00:00,3797,2015,11,03-Wednesday,05-Late Night Snack,235.75000000000003,24,3.475,9.822916666666668,2.8267386091127102
Cold Season,Drive Through Window,2015-11-27 00:00:00,3797,2015,11,05-Friday,01-Breakfast,370.27000000000004,50,2.6568000000000005,7.405400000000001,2.787338151159289
Cold Season,Drive Through Window,2015-11-27 00:00:00,3797,2015,11,05-Friday,02-Lunch,892.99,100,2.4806999999999997,8.9299,3.5997500705446046
Cold Season,Drive Through Window,2015-11-27 00:00:00,3797,2015,11,05-Friday,03-Snack,394.3399999999999,57,2.4398245614035092,6.9182456140350865,2.8355504422233397
Cold Season,Drive Through Window,2015-11-27 00:00:00,3797,2015,11,05-Friday,04-Dinner,802.3700000000002,76,2.886052631578947,10.557500000000003,3.6581106957235354
Cold Season,Drive Through Window,2015-11-27 00:00:00,3797,2015,11,05-Friday,05-Late Night Snack,251.08999999999997,29,2.917931034482758,8.658275862068965,2.9672654218860797
Cold Season,Drive Through Window,2015-11-28 00:00:00,3797,2015,11,06-Saturday,01-Breakfast,409.8500000000001,64,1.54875,6.403906250000001,4.134887005649718
Cold Season,Drive Through Window,2015-11-28 00:00:00,3797,2015,11,06-Saturday,02-Lunch,989.2499999999999,119,2.11873949579832,8.313025210084033,3.923571173600919
Cold Season,Drive Through Window,2015-11-28 00:00:00,3797,2015,11,06-Saturday,03-Snack,418.15999999999985,52,2.6599999999999997,8.041538461538458,3.0231347599768643
Cold Season,Drive Through Window,2015-11-28 00:00:00,3797,2015,11,06-Saturday,04-Dinner,686.6900000000002,67,3.052835820895522,10.249104477611942,3.3572406375281125
Cold Season,Drive Through Window,2015-11-28 00:00:00,3797,2015,11,06-Saturday,05-Late Night Snack,291.95000000000005,35,3.0988571428571428,8.341428571428573,2.6917757698690767
Cold Season,Drive Through Window,2015-11-29 00:00:00,3797,2015,11,07-Sunday,01-Breakfast,331.3999999999999,52,2.0478846153846146,6.373076923076922,3.1120292985256834
Cold Season,Drive Through Window,2015-11-29 00:00:00,3797,2015,11,07-Sunday,02-Lunch,906.05,108,2.943981481481481,8.38935185185185,2.849661896524611
Cold Season,Drive Through Window,2015-11-29 00:00:00,3797,2015,11,07-Sunday,03-Snack,386.78999999999996,48,3.2214583333333344,8.058124999999999,2.501390415831338
Cold Season,Drive Through Window,2015-11-29 00:00:00,3797,2015,11,07-Sunday,04-Dinner,642.27,59,3.0167796610169484,10.88593220338983,3.608461149502782
Cold Season,Drive Through Window,2015-11-29 00:00:00,3797,2015,11,07-Sunday,05-Late Night Snack,86.31,11,2.7363636363636363,7.846363636363637,2.8674418604651164
Cold Season,Drive Through Window,2015-11-30 00:00:00,3797,2015,11,01-Monday,01-Breakfast,436.3000000000002,83,1.9236144578313252,5.256626506024099,2.732681949141928
Cold Season,Drive Through Window,2015-11-30 00:00:00,3797,2015,11,01-Monday,02-Lunch,771.1999999999996,120,2.901916666666665,6.426666666666663,2.214628262929673
Cold Season,Drive Through Window,2015-11-30 00:00:00,3797,2015,11,01-Monday,03-Snack,357.28000000000003,60,2.267000000000001,5.954666666666667,2.6266725481546827
Cold Season,Drive Through Window,2015-11-30 00:00:00,3797,2015,11,01-Monday,04-Dinner,794.1300000000002,95,2.8114736842105272,8.35926315789474,2.9732674379422668
Cold Season,Drive Through Window,2015-11-30 00:00:00,3797,2015,11,01-Monday,05-Late Night Snack,137.32,21,3.267142857142857,6.5390476190476186,2.001457513482
Cold Season,Drive Through Window,2015-12-01 00:00:00,3797,2015,12,02-Tuesday,01-Breakfast,433.0399999999996,101,1.6558415841584153,4.287524752475244,2.5893326955273848
Cold Season,Drive Through Window,2015-12-01 00:00:00,3797,2015,12,02-Tuesday,02-Lunch,687.0299999999999,111,2.0309909909909907,6.189459459459458,3.0475070972320792
Cold Season,Drive Through Window,2015-12-01 00:00:00,3797,2015,12,02-Tuesday,03-Snack,426.83000000000004,70,2.4012857142857142,6.097571428571429,2.539294425605331
Cold Season,Drive Through Window,2015-12-01 00:00:00,3797,2015,12,02-Tuesday,04-Dinner,912.8000000000002,100,2.9673000000000003,9.128000000000002,3.0761972163246054
Cold Season,Drive Through Window,2015-12-01 00:00:00,3797,2015,12,02-Tuesday,05-Late Night Snack,280.46000000000004,36,3.968611111111112,7.790555555555557,1.9630433261006508
Cold Season,Drive Through Window,2015-12-02 00:00:00,3797,2015,12,03-Wednesday,01-Breakfast,519.6300000000001,109,2.2533027522935782,4.76724770642202,2.115671186026628
Cold Season,Drive Through Window,2015-12-02 00:00:00,3797,2015,12,03-Wednesday,02-Lunch,862.17,132,2.498030303030304,6.531590909090909,2.614696427488323
Cold Season,Drive Through Window,2015-12-02 00:00:00,3797,2015,12,03-Wednesday,03-Snack,498.06999999999977,83,2.2461445783132525,6.000843373493973,2.671619374564179
Cold Season,Drive Through Window,2015-12-02 00:00:00,3797,2015,12,03-Wednesday,04-Dinner,827.4799999999998,95,2.7375789473684216,8.710315789473682,3.18175875725766
Cold Season,Drive Through Window,2015-12-02 00:00:00,3797,2015,12,03-Wednesday,05-Late Night Snack,278.30000000000007,28,3.8199999999999994,9.939285714285717,2.6019072550486175
Cold Season,Drive Through Window,2015-12-03 00:00:00,3797,2015,12,04-Thursday,01-Breakfast,540.5299999999999,112,1.6524107142857147,4.826160714285713,2.920678662127842
Cold Season,Drive Through Window,2015-12-03 00:00:00,3797,2015,12,04-Thursday,02-Lunch,861.2900000000001,128,1.8853124999999997,6.728828125000001,3.569078402121665
Cold Season,Drive Through Window,2015-12-03 00:00:00,3797,2015,12,04-Thursday,03-Snack,395.86000000000007,60,2.2415000000000003,6.597666666666668,2.9434158673507325
Cold Season,Drive Through Window,2015-12-03 00:00:00,3797,2015,12,04-Thursday,04-Dinner,1143.4399999999998,103,2.743203883495146,11.10135922330097,4.046858963015394
